Code,Name,Approved,Products/Services,Contact Name,Contact Phone,Contact Email,Website URL,City,Country,Notes
1010,HERHOLDTS,TRUE,"Electrical ,Tools",Ockert  Van Schalkwyks,27 51 447 1961 ,ockert@herholdts.co.za, https://www.herholdts.co.za ,BFN, South Africa,
1011,VOLTEX,,"Electrical,Tools",Joyce Jackson ,27 51 505 0700,jjackson@voltex.co.za,https://www.voltex.co.za,BFN, South Africa,
1012,AFRICA TRADING GROUP,,"Electrical,PPE, Tools",Shailen Sing,27 82 286 6245,shailen@africantradings.co.za,www africantradinggroup.com,JNB,South Africa,
1013,KEVCOR,TRUE,"Equipment,PPE,Tools,Oil",Neels,57755403/051 447 9423,spares1@kevcor.co.za/rep3@kevcor.co.za /lesadmin@kevcor.co.za,https://kevcor.co.za/,BFN," South Africa, Lesotho",
1014,ADENDORFF,TRUE,"Machinery,Tools",Musk. N,051 448 1689,bloemsales2@adendorff.co.za,https://www.adendorff.co.za/,BFN, South Africa,
1015,BMG,TRUE,"Bearings, Seals,Fasteners, Gaskets,Tools,valves","Rethabile Motsoane,Donovan Matthysen,",27 67 005 4025/27 51 447 2360,bloemfonteinsales2@bmgworld.net/Ladybrand@bmgworld.net,https://bmgworld.net/bmg/en/ZAR/,"Ladybrand, BFN",South Africa,
1016,TJ holding,,Electrics,"Tsebiso,Joel", 5937 7485,"tsebiso@tjgroup.co, TJ@tjgroup.co",https://tjgroup.co/,"Butha Buthe, MSU",Lesotho,
1017,Verozha holding,,Electrical,Letsie,62828915/58701172,sssssletsie@gmail.com,,MSU,Lesotho,
1018,Kr holdings,,Electricals,Makoala Mohlomi,22214700/5911 2676,finance@kr.co.ls,,MSU,Lesotho,
1019,Thetsane Hardware,TRUE,"Plumbing,hardware ",, 2232 4771,,,MSU,Lesotho,
1020,Budget Hardware,TRUE,"Plumbing,hardware ","Thato, Soreya",2232 0101/ 6877 2614/5879 5046,budgethardware@yahoo.com,,MSU,Lesotho,
1021,Builders city,TRUE,"Plumbing,hardware ",, 6232 4285,,,MSU,Lesotho,
1022,Khubetsoana building world,,"Plumbing,hardware ",,5997 9759,,,MSU,Lesotho,
1023,EZ Hardware,,"Plumbing,hardware ",, 5735 8123,,,MSU,Lesotho,
1024,Lucky Hardware,,"Plumbing,hardware ",Motlatsi,6350 5364/6282 4229/6381 9121,,,MSU,Lesotho,
1025,Plumb link,,"Plumbing,valves,plumbing tools",Thabo Molise, 087 756 6384/067 757 2117,tmalise@plumblink.co.za,https://www.plumblink.co.za/home,Bethlehem,South Africa,
1026,Bearings international,,"Bearings, Seals,Fasteners, Gaskets,Tools,valves",Katlego Mohlala,27 11 899 0127/27 11 899 0000,parkhavensale6@bearings.co.za,www.bearings.co.za,Boksburg,South Africa,
1027,Vrsconite Bearings,,"Bearing,Plumbing",Jean Patrick,27 (0) 11 616 1111 /27 78 934 2126,vesconite@vesconitebearings.com,www.vesconite.com ,JNB,South Africa,
1028,Supreme Bearings FS,,"Bearings, Seals,Fasteners, Gaskets,Tools,valves",Michelle,27 51 448 4926,michelle@supremebearings.co.za,https://supremebearings.co.za/,BFN,South Africa,
1029,Hi-Tech systems,,"Electricals, cables, machinery",, 5957 7332,,,MSU,Lesotho,
1030,Power Transformers,,"Transformers,low voltage DB",Johan Du Preez ,27 082 600 5302,johan@powertx.co.za,https://powertransformers.co.za/,CPT,South Africa,
1031,Rotrolex transformers,,"Transformers,oil purification",sales,27 76 281 2719,"
retrolextransformers@gmail.com",www.retrolextransformers.co.za,JNB,South Africa,
1032,Maverick  Generators,,"Transformers, generators",Sales,0128191040/0742979711,arlene@maverickgenerators.co.za,www.maverickgenerators.co.za,JNB,South Africa,
1033,Kerun Intelligent control,,"Transformers,DB",William Zhou ,+86 13626701170,krgroupexport@yeah.net,www.krgroup.cn,,China,
1034,Sino Plant,TRUE,"Machinery,power tools",Phillip Van Jaarsveldt,  27 82 872 1290/ 2710 745 1697,sales80@sinoplant.co.za,www.sinoplant.co.za,JNB,South Africa,
1035,Compact control,,"DB,Generators,power factor system",Justin Allison,27 51433 1052/27 72 151 3216,"
justin@compactcontrols.co.za",,BFN,South Africa,
1036,Bundu power,,"Generatos,solar products,invertors,UPS",sales,2711 397 7373 ,sales@bundupower.co.za,https://www.bundupower.co.za/solarinverter.php,JNB,South Africa,
1037,Satowell,,DB,Yolande Ferreira,27 51 447 1321/27 26 792 7108,yolande.dbe@gmail.com,,BFN,South Africa,
1038,Gem switchgear,,"DB,Generators,power factor system",sales,27 22 397 3354/27 61 2676,admin@gemsg.co.za/jaco@gemsg.co.za,https://gem-switchboards.com.au/products/,JNB,South Africa,
1039,Swichboard Groups,,DB,Precious,27 78 312 1487,precious@swbgroup.co.za,https://www.switchman.co.za/,JNB,South Africa,
1040,Macsteel,TRUE,steel,Lebogang,27 51 403 9422,Lebogang.Sehurutshi@macsteel.co.za, www.macsteel.co.za,BFN,South Africa,
1041,Pure stainless steel,,steel,Cynthia,11 81 48214/5,cynthia@purestainless.co.za,,JNB,South Africa,
1042,BSI STEEL,,steel,Ryno  Kotze,27 76 981 7676,ryno.kotze@bsisteel.com , bsisteel.com ,JNB,South Africa,
1043,Stewarts and lloyds,,steel,sales, 011 824 1800, steelandtube@sltrading.co.za,https://www.stewartsandlloyds.co.za/contact-us/,BFN, South Africa,
1044,Reinfoicing solution ,,"steel reinforce, steel coupler",sales,2232 3132/ 22328498,srslesotho@rsh.co.za,https://reinforcingsteelcontractors.co.za/lesotho/,BFN," South Africa, Lesotho",
1045,Free State Engineering,TRUE,"steel reinforce, steel coupler, plastic polythylene,cooper, brass, aluminium",Synday,27 63 805 6277/27 83 411 9608,coenie@fsengineering.co.za/   sydney@fsengineering.co.za,https://fsengineering.co.za/,BFN,South Africa,
1046,Sd knives,,copper sheet,sales,27 82 578 7440,hello@sdknives.co.za,https://www.sdknives.co.za/,JNB,South Africa,
1047,Cape Watch,,copper sheet,Nezly,27 66 533 7575,sales@capewatch.co.za,https://www.capewatch.co.za/,CPT,South Africa,
1048,ADCENG gas equipment,,gas accesseries,Sipho Madonsela,27 11 493 8209,sipho@adceng.co.za,https://adceng.co.za/,CPT,South Africa,
1002,Afrox Lesotho,TRUE,"gas accesseries, gases",Janine,27 82 770-8470/57404553,Janine.Herselman@afrox.linde.com/ ishmael.sekike@afrox.linde.com,www.afrox.com,BFN,"South Africa, Lesotho",
1049,SaGe-safe gas equipment,,gas accesseries,Eleien Bootha,27 11 476 4403,elrien@sagas.co.za,https://safegasequipment.co.za/,JNB,South Africa,
1050,JOJO,,filter,sales,27 (0) 51 434 1421/22/23,ncsales@jojo.co.za,https://www.jojo.co.za/,BFN,South Africa,
1051,Teengs,TRUE,"bolts,nuts, fasteners",Sean,27 51 430 2929,sales1@teengs-bolt.co.za,https://teengs-bolt.co.za/,BFN,South Africa,
1052,M&D Specilaised fasters,,"bolts,nuts, fasteners",sales,27 73 839 9239/ 27 87 943 8688,sales@m-d.co.za,https://mdfasteners.co.za/,JNB,South Africa,
1053,Fastener  Agencies,,"bolts,nuts, fasteners",sales,27 (0)11 907 2876,info@fa.co.za,https://fa.co.za/,GMT,South Africa,
